"Código","Nombre","Categoria","Unid / Frac.","Stock Actual","Stock Minimo","Costo","Precio","Valor Stock Actual","Valor Stock Custo","Valor vendido","Cantidad Vendida","Ganancia"
"1SMOCHAMOUSSE","Set de top y pantalon","SETS","unidad","2",0,"11,45","25","50","22,9","125","5","67,75"
"1SROJO","Set de top y pantalon","SETS","unidad","4",0,"11,45","25","100","45,8","50","2","27,1"
"1SESPRESSO","Set de top y pantalon","SETS","unidad","4",0,"11,45","25","100","45,8","50","2","27,1"
"1SMARRON"," Set de top y pantalon","SETS","unidad","3",0,"11,45","25","75","34,349","75","3","40,65"
"1SAZUL","Set de top y pantalon","SETS","unidad","3",0,"11,45","25","75","34,349","50","2","27,1"
"19SNEGRO","Set de top y pantalon","SETS","unidad","0",0,"12,2","27","0","0","135","5","74"
"19SMOCHAMOUSSE","Set de top y pantalon","SETS","unidad","0",0,"12,2","27","0","0","27","1","14,8"
"01TROJO","Straple","BLUSAS/TOPS/CHALECOS","unidad","1",0,"8,75","17","17","8,75","30,6","2","13,1"
"01TMARRON","Straple","BLUSAS/TOPS/CHALECOS","unidad","0",0,"8,75","17","0","0","66,3","4","31,3"
"22TROJA","Blusa","BLUSAS/TOPS/CHALECOS","unidad","2",0,"9,7","19","38","19,4","19","1","9,3"
"22TBLANCA","Blusa","BLUSAS/TOPS/CHALECOS","unidad","0",0,"9,7","19","0","0","76","4","37,2"
"101MARRON","Set de sweater y pantalon ","SETS","unidad","1",0,"22,7","36","36","22,7","216","6","79,8"
"7450113474466","Set de jeans chaleco y pantalon","SETS","unidad","1",0,"27,5","45","45","27,5","765","17","297,5"
"JEANSSHEIN08","Jeans ancho","JEANS","unidad","0",0,"25","37","0","0","37","1","12"
"JEANSSHEIN09","Jeans ancho ","JEANS","unidad","2",0,"27,33","37","74","54,66","222","6","58,02"
"JEANSSHEIN10","Jeans ancho  ","JEANS","unidad","0",0,"29","38","0","0","114","3","27"
"JEANSSHEIN11","Jeans ancho   ","JEANS","unidad","0",0,"29","40","0","0","200","5","55"
"JEANSSHEIN12","Jeans ancho ","JEANS","unidad","1",0,"29","38","38","29","227","6","54"
"JEANSSHEIN13","Jeans ancho ","JEANS","unidad","1",0,"22","34","34","22","136","4","48"
"","Jeans ancho  (copia)","JEANS","unidad","","","22","34","","",0,0,0
"7450113473391","Jeans ancho","JEANS","unidad","5",0,"18","29","145","90","290","10","110"
"7453130367544","Jeans ancho","JEANS","unidad","1",0,"19","30","30","19","300","10","110"
"7453130367490","Jeans ancho","JEANS","unidad","2",0,"18","28","56","36","56","2","20"
"7453130368367","Jeans bota ancha","JEANS","unidad","6",0,"19","30","180","114","270","9","95"
"0718819013721","Jeans bota campana","JEANS","unidad","0",0,"18","28","0","0","224","8","80"
"7453130360491","Jeans bota campana","JEANS","unidad","2",0,"18","29","58","36","116","4","44"
"JEANSCELLO01","Jeans ancho","JEANS","unidad","0",0,"30","45","0","0","135","3","45"
"CORSET43","Corset","BLUSAS/TOPS/CHALECOS","unidad","14",0,"8","25","350","112","50","2","34"
"CORSET44","Corset estilo faja","BLUSAS/TOPS/CHALECOS","unidad","20",0,"8","25","500","160","25","1","17"
"CORSET45","Corset estilo faja","BLUSAS/TOPS/CHALECOS","unidad","20",0,"8","25","500","160",0,0,0
"CORSET46","Corset estilo faja ","BLUSAS/TOPS/CHALECOS","unidad","17",0,"8","25","425","136","50","2","34"
"CORSET47","Corset estilo faja","BLUSAS/TOPS/CHALECOS","unidad","16",0,"8","25","400","128","25","1","17"
"7453000123300","Jeans bota ancha ","JEANS","unidad","3",0,"16,3","30","90","48,900","300","10","137"
"ZAPATOS26","On cloud  ","ZAPATOS","unidad","2",0,"36","65","130","72","195","3","87"
"ZAPATOS27","Nike  ","ZAPATOS","unidad","3",0,"32","55","165","96","385","7","161"
"ZAPATOS28","On cloud","ZAPATOS","unidad","6",0,"32","65","390","192","455","7","231"
"FALD30","Falda larga","FALDAS","unidad","5",0,"9","26","130","45",0,0,0
"FALD31","Falda short larga","FALDAS","unidad","5",0,"14","28","140","70","56","2","28"
"FALD32","Falda short larga","FALDAS","unidad","4",0,"14,5","28","112","58","224","8","108"
"FALD33","Falda larga ","FALDAS","unidad","4",0,"14,5","26","104","58",0,0,0
"FALD34","Falda short larga","FALDAS","unidad","7",0,"14,5","28","196","101,5","56","2","27"
"BODY31","Body  ","BODIES","unidad","0",0,"12","22","0","0","44","2","20"
"BODY32","Body   ","BODIES","unidad","0",0,"12","25","0","0",0,0,0
"TOP158","Top","BLUSAS/TOPS/CHALECOS","unidad","1",0,"10","22","22","10","44","2","24"
"TOP159","Top de lentejuelas","BLUSAS/TOPS/CHALECOS","unidad","0",0,"12","25","0","0","75","3","39"
"TOP160","Top ","BLUSAS/TOPS/CHALECOS","unidad","2",0,"14","22","44","28",0,0,0
